time,P_e_NM,P_e_Lindblad,coherence_NM,coherence_Lindblad,trace_distance
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,9.909999999999999920e-01,9.910403787728836456e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.037877288365354644e-05
4.000000000000000222e-01,9.730810032857606373e-01,9.821610323583007673e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.080029072540130031e-03
6.000000000000000888e-01,9.597426388129564057e-01,9.733612415243367844e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.361860271138043421e-02
8.000000000000000444e-01,9.479711662842282838e-01,9.646402934831230791e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.666912719889479533e-02
1.000000000000000000e+00,9.370096258643658693e-01,9.559974818330998492e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.898785596873397985e-02
1.200000000000000178e+00,9.265537765770068823e-01,9.474321065017983212e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.087832992479143890e-02
1.400000000000000133e+00,9.164507398509651459e-01,9.389434736891332234e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.249273383816813299e-02
1.600000000000000089e+00,9.066127030268686937e-01,9.305308958112057383e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.391819278433710005e-02
1.800000000000000044e+00,8.969844850212859155e-01,9.221936914446080547e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.520920642332213912e-02
2.000000000000000000e+00,8.875290885678122077e-01,9.139311852712281858e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.640209670341597814e-02
2.200000000000000178e+00,8.782204600513043857e-01,9.057427080235485040e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.752224797224411823e-02
2.400000000000000355e+00,8.690395313594583282e-01,8.976275964304348820e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.858806507097655381e-02
2.600000000000000089e+00,8.599719056881642842e-01,8.895851931634113363e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.961328747524705207e-02
2.800000000000000266e+00,8.510064301377137097e-01,8.816148467834160618e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.060841664570235210e-02
3.000000000000000000e+00,8.421342760134088445e-01,8.737159116880344190e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.158163567462557442e-02
3.200000000000000178e+00,8.333483243160244580e-01,8.658877480592049869e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.253942374318058439e-02
3.400000000000000355e+00,8.246427423324216299e-01,8.581297218113937975e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.348697947897216753e-02
3.600000000000000089e+00,8.160126840868805465e-01,8.504412045402329756e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.442852045335242916e-02
3.800000000000000266e+00,8.074540734968227440e-01,8.428215734716199004e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.536749997479710084e-02
4.000000000000000000e+00,7.989634442166066997e-01,8.352702114112720011e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.630676719466535696e-02
4.200000000000000178e+00,7.905378192365550838e-01,8.277865066947336370e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.724868745817860871e-02
4.400000000000000355e+00,7.821746189453151477e-01,8.203698531378309511e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.819523419251574792e-02
4.600000000000000533e+00,7.738715899319429381e-01,8.130196499875709248e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.914806005562798674e-02
4.800000000000000711e+00,7.656267491448183193e-01,8.057353018734796368e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.010855272866137300e-02
5.000000000000000000e+00,7.574383395816634001e-01,7.985162187593770611e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.107787917771366093e-02
5.200000000000000178e+00,7.493047947546178644e-01,7.913618158955838533e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.205702114096596111e-02
5.400000000000000355e+00,7.412247099195460320e-01,7.842715137715564611e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.304680385201040127e-02
5.600000000000000533e+00,7.331968185783925840e-01,7.772447380689461172e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.404791949055356093e-02
5.800000000000000711e+00,7.252199731370807534e-01,7.702809196150790516e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.506094647799829822e-02
6.000000000000000000e+00,7.172931288638477731e-01,7.633794943368531483e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.608636547300537512e-02
6.200000000000000178e+00,7.094153304913337621e-01,7.565399032150473824e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.712457272371367578e-02
6.400000000000000355e+00,7.015857009516727194e-01,7.497615922390412635e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.817589128736854409e-02
6.600000000000000533e+00,6.938034318473799145e-01,7.430440123619398429e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.924058051455995622e-02
6.800000000000000711e+00,6.860677753467767648e-01,7.363866194561000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.031884410932327412e-02
7.000000000000000000e+00,6.783780372559167215e-01,7.297888742690568087e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.141083701314005938e-02
7.200000000000000178e+00,6.707335710683642871e-01,7.232502423798423674e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.251667131147808032e-02
7.400000000000000355e+00,6.631337728299245837e-01,7.167701941556988698e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.363642132577428612e-02
7.600000000000000533e+00,6.555780766866216025e-01,7.103482047091771445e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.477012802255554202e-02
7.800000000000000711e+00,6.480659510082021901e-01,7.039837538556208418e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.591780284741865170e-02
8.000000000000000000e+00,6.405968950000240358e-01,6.976763260710310277e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.707943107100693636e-02
8.200000000000001066e+00,6.331704357318171938e-01,6.914254104503084752e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.825497471849128139e-02
8.400000000000000355e+00,6.257861255233047038e-01,6.852305006658702125e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.944437514256550870e-02
8.599999999999999645e+00,6.182707633931027180e-01,6.790910949266367735e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.082033153353408328e-02
8.800000000000000711e+00,6.109695446749058290e-01,6.730066959373863789e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.203715126248052214e-02
9.000000000000000000e+00,6.037092949033384670e-01,6.669768108584743782e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.326751595513592508e-02
9.200000000000001066e+00,5.964896452475866306e-01,6.610009512659124065e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.451130601832576195e-02
9.400000000000000355e+00,5.893102431154968457e-01,6.550786331118062522e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.576838999630936489e-02
9.600000000000001421e+00,5.821707507820407246e-01,6.492093766851473324e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.703862590310658010e-02
9.800000000000000711e+00,5.750708441213536748e-01,6.433927065729561079e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.832186245160239146e-02
1.000000000000000000e+01,5.680102115313961919e-01,6.376281516217732204e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.961794009037701458e-02
1.020000000000000107e+01,5.609885529932499004e-01,6.319152448994957982e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.092669190624588393e-02
1.040000000000000036e+01,5.540055792476040741e-01,6.262535236575559328e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.224794440995190026e-02
1.060000000000000142e+01,5.470610110404121595e-01,6.206425292934372173e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.358151825302501614e-02
1.080000000000000071e+01,5.401545784136525530e-01,6.150818073135285724e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.492722889987600554e-02
1.100000000000000000e+01,5.332860200514055737e-01,6.095709072963092501e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.628488724490367634e-02
1.120000000000000107e+01,5.264550826783412907e-01,6.041093828558646850e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.765430017752342207e-02
1.140000000000000036e+01,5.196615205266144066e-01,5.986967916057290839e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.903527107911462180e-02
1.160000000000000142e+01,5.129050948539914945e-01,5.933326951230519786e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.042760026906047022e-02
